animal	group	wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk12_IL4	wk12_LN_CD3p_CD4_CD95pCD28nTEM	wk12_LN_CD3p_CD4p_MFI_BCL2_UNS	wk12_LN_CD3p_CD4p_notToxpIRF4p_MFI_BCL2	wk12_LN_CD3p_CD4p_TCM_IRF4nTCF1nTOXp	wk12_LN_CD3p_CD4p_TCM_MFI_BCL2_UNS	wk12_LN_CD3p_CD4p_TCM_notToxpIRF4p_MFI_BCL2	wk12_LN_CD3p_CD8p_KI67p_UNS	wk12_LN_CD3p_CD8p_TCM_GRZBp_GAG	wk12_LN_CD3p_CD8p_TCM_GRZBp_UNS	wk12_LN_CD3p_CD8p_TCM_KI67p_UNS	wk12_LN_CD3p_CD8p_TCM_SLAMF6p_UNS	wk12_LN_CD3p_CD8p_TEM_CD39p_GAG	wk12_LN_CD3p_CD8p_TOXpIRF4p_MFI_KI67	wk12_MIP3b	wk12_PBMC_CD3p_CD4p_TCM_IRF4pTCF1nTOXn	wk12_PBMC_CD3p_CD4p_TCM_MFI_BCL2_GAG	wk12_PBMC_CD3p_CD4p_TCM_MFI_BCL2_UNS	wk12_PBMC_CD3p_CD4p_TCM_notToxpIRF4p_MFI_BCL2	wk12_PBMC_CD3p_CD8p_KI67p	wk12_PBMC_CD3p_CD8p_TCF1nCD101p_GRZBnTBETp_MFI_BCL2	wk12_PBMC_CD3p_CD8p_TCF1pCD101p_GRZBpTBETp_MFI_BCL2	wk12_PBMC_CD3p_CD8p_TCF1nCD101n_MFI_KI67	wk21_LN_CD3p_CD4_CD95pCD28nTEM	wk21_LN_CD3p_CD4p_TCM_TOXpIRF4p_MFI_CD101	wk21_LN_CD3p_CD4p_TCM_TOXpIRF4p_MFI_TCF1	wk21_LN_CD3p_CD4p_TEM_IRF4nTCF1nTOXp	wk21_LN_CD3p_CD4p_TNFAp_GAG	wk21_LN_CD3p_CD4p_TOXpIRF4p_MFI_CD101	wk21_LN_CD3p_CD8p_Naive	wk21_LN_CD3p_CD8p_TCF1nCD101p_MFI_ID2	wk21_LN_CD3p_CD8p_TCF1nCD101p_MFI_IRF4	wk21_LN_CD3p_CD8p_TCF1nCD101p_GRZBnTBETp_MFI_CD101	wk21_LN_CD3p_CD8p_TCF1nCD101p_GRZBnTBETp_MFI_ID2	wk21_LN_CD3p_CD8p_TCF1nCD101p_GRZBnTBETp_MFI_IRF4	wk21_LN_CD3p_CD8p_TCF1nCD101p_GRZBpTBETp_MFI_BCL2	wk21_LN_CD3p_CD8p_TCF1nCD101p_GRZBpTBETp_MFI_KI67	wk21_LN_CD3p_CD8p_TCF1nCD101p_GRZBnTBETn_MFI_KI67	wk21_LN_CD3p_CD8p_TCFn_TBEThi_CX3CR1pGRZBp_MFI_ID2	wk21_PBMC_CD3p_CD4p_TEM_TOXpIRF4p_MFI_CX3CR1	wk21_PBMC_CD3p_CD8p_TCF1nCD101p_GRZBnTBETn_MFI_KI67	wk21_PBMC_CD3p_CD8p_TCF1pCD101p_GRZBnTBETn	wk36_LN_CD3p_CD4p_IFNGp_GAG_UNS	wk36_LN_CD3p_CD4p_IL2p_GAG_UNS	wk36_LN_CD3p_CD4p_KI67p	wk36_LN_CD3p_CD4p_Naive_notToxpIRF4p_MFI_CD101	wk36_LN_CD3p_CD4p_TCF1p_GRZBp_MFI_GRZB	wk36_LN_CD3p_CD4p_TCM_IFNGp_GAG	wk36_LN_CD3p_CD4p_TCM_IFNGp_GAG_UNS	wk36_LN_CD3p_CD4p_TCM_notToxpIRF4p_MFI_CD101	wk36_LN_CD3p_CD4p_TCM_TOXpIRF4p_MFI_CD101	wk36_LN_CD3p_CD4p_TEM	wk36_LN_CD3p_CD4p_TEM_IRF4nTCF1nTOXn	wk36_LN_CD3p_CD4p_TEM_IRF4pTCF1pTOXn	wk36_LN_CD3p_CD4p_TEM_MFI_TCF1_GAG	wk36_LN_CD3p_CD4p_TEM_notToxpIRF4p_MFI_CD101	wk36_LN_CD3p_CD4p_TEM_TCF1n	wk36_LN_CD3p_CD4p_TEM_TCF1p	wk36_LN_CD3p_CD4p_TNFAp_GAG_UNS	wk36_LN_CD3p_CD8p_CD25p	wk36_LN_CD3p_CD8p_CX3CR1p_GAG_UNS	wk36_LN_CD3p_CD8p_IFNGp_GAG_UNS	wk36_LN_CD3p_CD8p_IRF4nTCF1nTOXn	wk36_LN_CD3p_CD8p_IRF4nTCF1nTOXp	wk36_LN_CD3p_CD8p_IRF4nTCF1pTOXn	wk36_LN_CD3p_CD8p_KI67p	wk36_LN_CD3p_CD8p_MFI_TCF1_UNS	wk36_LN_CD3p_CD8p_Naive_IRF4nTCF1nTOXn	wk36_LN_CD3p_CD8p_Naive_IRF4nTCF1nTOXp	wk36_LN_CD3p_CD8p_Naive_notToxpIRF4p_MFI_CD101	wk36_LN_CD3p_CD8p_Naive_TCF1n	wk36_LN_CD3p_CD8p_Naive_TCF1p	wk36_LN_CD3p_CD8p_notToxpIRF4p_MFI_TCF1	wk36_LN_CD3p_CD8p_TCF1pCD101n	wk36_LN_CD3p_CD8p_TCF1nCD101n	wk36_LN_CD3p_CD8p_TCF1n	wk36_LN_CD3p_CD8p_TCF1p	wk36_LN_CD3p_CD8p_TCFn	wk36_LN_CD3p_CD8p_TCM_CX3CR1p_GAG_UNS	wk36_LN_CD3p_CD8p_TCM_IFNGp_GAG	wk36_LN_CD3p_CD8p_TEM_CX3CR1p_GAG	wk36_LN_CD3p_CD8p_TEM_CX3CR1p_GAG_UNS	wk36_LN_CD3p_CD8p_TEM_IRF4nTCF1nTOXp	wk36_PBMC_CD3p_CD4p_CD39p_GAG_UNS	wk36_PBMC_CD3p_CD4p_CD39p_UNS	wk36_PBMC_CD3p_CD4p_CD69p_GAG_UNS	wk36_PBMC_CD3p_CD4p_KI67p_GAG_UNS	wk36_PBMC_CD3p_CD4p_Naive_KI67p_UNS	wk36_PBMC_CD3p_CD4p_Naive_TNFAp_GAG	wk36_PBMC_CD3p_CD4p_TCM_CD39p_GAG	wk36_PBMC_CD3p_CD4p_TCM_CD69p_GAG_UNS	wk36_PBMC_CD3p_CD4p_TCM_notToxpIRF4p_MFI_TBET	wk36_PBMC_CD3p_CD4p_TCM_TOXpIRF4p_MFI_TBET	wk36_PBMC_CD3p_CD4p_TEM_ID2p_GAG	wk36_PBMC_CD3p_CD8p_IFNGp_GAG_UNS	wk36_PBMC_CD3p_CD8p_Naive_TNFAp_GAG_UNS	wk36_PBMC_CD3p_CD8p_TCF1pCD101p_MFI_BCL2	wk36_PBMC_CD3p_CD8p_TCF1pCD101p_GRZBnTBETn_MFI_BCL2	wk36_PBMC_CD3p_CD8p_TBETp_GAG_UNS	wk36_PBMC_CD3p_CD8p_TCM_CD69p_UNS	wk36_PBMC_CD3p_CD8p_TCM_notToxpIRF4p_MFI_TBET	wk36_PBMC_CD3p_CD8p_TCM_TOXpIRF4p_MFI_TBET	wk36_PBMC_CD3p_CD8p_TNFAp_GAG_UNS
34897	aIL10	7.025983056	0.134145278	0.48	2017	2015	2.54	2262	2286	3.63	4.39	4.71	5.35	1.75	6.62	129	70.43170268	2.25	2103	2514	2509	1.79	NA	3138	82.2	1.21	1150	10459	16.1	0.23	715	18.5	234	55.2	1121	242	46.2	570	417	293	191	70.8	233	28.5	1.866666667	1.357142857	7.71	-7.7	769	1.03	1.980769231	65.5	335	0.62	39.5	4.24	1570	-8.98	67.4	32.6	1.764705882	13.3	0.983928571	2.224299065	29.8	12.9	29	11.7	6067	19.1	5.42	6.42	24.8	75.2	3448	39	42.9	44.9	55.1	50	0.992337165	2.77	60.9	0.928353659	20	0.831282953	5.69	0.860759494	0.765060241	3.47	0.036	7.73	1.083700441	419	632	16.3	0.428057554	0.793814433	3366	2946	0.586693548	3.86	265	418	0.565217391
34920	aIL10	7.508975669	0.115157183	0.71	2364	2328	3.2	2332	2311	3.02	4.54	4.07	3.48	1.19	4.05	88.7	53.44114275	2.07	3126	3126	3138	1.06	945	3305	111	1.11	990	7939	11.3	0.11	558	27.9	291	224	2140	314	224	934	168	152	229	NA	NA	NA	0.7	0.692307692	11.9	-37.2	789	0.27	0.5625	43.6	232	0.83	57.2	3.03	1642	28.2	77.8	22.2	1.617647059	18	0.69581749	0.921686747	45.5	13.4	22.4	19.3	2292	34.3	8.41	2.57	43.9	56.1	1781	24.1	50.9	63.7	36.3	70	0.646451613	1.83	62.5	0.742280285	17.6	0.49301676	7.16	0.835341365	0.611764706	5.89	0.022	4.43	0.768722467	572	753	35.9	0.723214286	0	3132	3016	0.957703927	6.3	296	385	0.740740741
34930	aIL10	7.228155107	0.114582175	1.15	1670	1632	3.75	1942	1904	3.63	3.73	2.32	3.77	0.81	11.9	89.9	76.30383489	2.98	2739	2549	2558	0.76	2514	3777	57.8	1.93	668	8794	19.7	0.09	350	15.9	212	112	1195	216	97.7	622	423	198	191	107	134	39.9	0.22	0.48447205	8.79	-11.6	765	0.16	0.150943396	-43.6	146	0.88	42.4	4.3	1515	5.13	71.7	28.3	1.181818182	16.2	0.811993517	0.628571429	21.1	11.3	33.1	11.9	7397	9.92	3.98	-2.57	14.3	85.7	6146	47.5	32.2	36.3	63.7	40.4	0.774193548	1.79	58.2	0.837410072	18.2	0.435034803	8.62	1.047120419	0.710526316	4.53	0	7.81	1.02293578	420	530	6.15	0.982097187	NA	2534	2382	1.074204947	6.86	278	396	1
RFn17	aIL10	6.901875931	0.116339217	1.73	1877	1865	3.41	2010	2026	3.99	3.97	3.92	4.6	1.23	5.32	117	51.76075203	3.46	2148	2534	2549	2.23	2337	2297	127	1.8	1561	9534	14.1	0.27	1042	28.4	220	83.5	1674	277	92.5	551	221	140	134	130	194	75.6	1.4	1.416666667	6.15	20.5	824	0.53	1.606060606	104	398	0.44	51.4	2.66	1639	-1.28	74	26	1.333333333	4.89	0.840764331	1.18556701	24.7	7.99	46.3	10.1	9197	11.2	2.92	28.2	14.3	85.7	7579	51.9	32.6	34.4	65.6	39.6	0.826180258	1.51	53.2	0.818461538	15.5	0.531791908	8.65	0.707142857	0.683168317	3.24	0	6.66	0.5	336	449	12.4	0.594855305	3.333333333	3619	4202	0.862637363	3.1	180	189	1.225806452
RHm17	aIL10	4.977098631	0.11727393	0.85	2387	2358	6.82	2410	2367	5.99	5.91	6.33	8.11	2.08	8.7	123	57.31716167	4.42	2266	2609	2539	1.32	2810	3070	84.8	1.52	777	9996	11.4	0.27	594	16	129	-1.28	1381	155	-1.28	620	321	131	104	33.1	237	57.9	2.021582734	0.584269663	6	83.5	851	5.03	2.225663717	230	796	0.51	34	4.54	1567	129	64.5	35.5	0.84	7.05	1.165217391	1.548895899	19.1	10.7	37.4	7.09	6645	9.41	3.31	61.6	12.9	87.1	6186	50.4	27.5	34.3	65.7	40.6	1.137184116	5.1	72.5	1.004155125	20	1.041189931	8.74	1.181818182	1.069875776	1.38	0	13	0.968468468	320	444	29.5	1.578947368	1.214285714	2279	2410	0.610108303	2.96	133	178	1.6
RVc17	aIL10	4.487062777	0.148294334	1.02	1994	1982	3.86	1928	1859	4.06	4.58	4.7	4.7	0.8	11.6	114	56.1248685	1.75	3151	3208	3234	1.41	3393	4290	88.7	0.56	417	8893	14.4	0.14	269	38.3	270	151	1218	304	217	1032	190	148	198	79.4	209	52.4	0.578125	0.634146341	3.95	77.1	745	0.85	0.669291339	170	519	0.11	37.2	4.83	1532	104	58.9	41.1	1.604938272	7.12	0.927244582	0.905882353	23.8	7.42	46.4	5.58	7365	15.9	3.29	68.1	19.4	80.6	6896	58.6	29.1	32.4	67.6	35.9	0.915328467	1.26	76.6	0.876430206	16.7	0.237058824	17	0.98489426	0.657010429	2.58	0.11	5.59	0.823327616	560	579	29	0.868932039	1.052631579	3894	4008	1.13255814	7.82	240	251	1.02247191
RVm17	aIL10	6.679972694	0.146544612	1.67	2095	2015	4.94	2400	2311	4.47	5.31	5.55	5.3	1.85	8.41	116	73.96111316	3.21	2364	3182	3246	1.39	3808	2815	97.7	1.67	1440	9642	18.8	0.21	817	25.7	289	146	1856	345	153	851	200	158	186	84.8	186	42.1	0.848484848	0.78125	4.59	11.6	775	1.25	0.892857143	147	588	0.26	32.4	6.93	2244	18	52.1	47.9	1.230769231	4.14	0.881261596	0.974683544	22.3	7.31	43.5	7.64	7834	19.6	4.34	-39.8	24.2	75.8	7237	56.1	32.1	30.5	69.5	35.3	0.864244742	1	56.7	0.876352396	13.6	0.843866171	8.07	0.875	0.753101737	4.15	0.087	7.3	0.805031447	404	472	15.2	0.639751553	0.25	3761	4325	0.668621701	5.96	257	299	0.451612903
RYk17	aIL10	2.694399707	0.133207072	0.78	2123	2075	4.89	2087	2048	7.22	3.48	5.5	8.78	1.67	8.4	133	62.09011073	2.38	2181	2911	2882	2.47	1867	3240	114	0.55	1849	8973	12.2	0.42	1407	45.2	309	157	2614	360	190	883	278	152	191	51.9	262	40.9	0.567901235	0.52173913	2.71	114	817	1	0.689655172	437	2466	0.19	29.5	6.31	2052	229	48	52	1.467741935	8.91	0.875278396	1.239130435	15.3	5.25	52.2	2.67	9406	8.07	1.65	102	10.1	89.9	9115	62.3	20.9	22	78	25.7	0.918859649	2.29	57.9	0.9264	14.2	1.065375303	4.13	1.203821656	0.530097087	3.25	0.022	4.35	1.154185022	357	418	19.7	0.921495327	3.645833333	3040	2771	0.918287938	6.66	179	276	1.085714286
RGr17	aIL10	NA	0.137589057	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	56.42119733	5.66	1972	2198	2210	2.08	1781	3785	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RZp17	aIL10	5.512343907	0.147106318	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	63.39160716	3.03	2987	2793	2810	0.91	1811	2665	84.8	1.05	524	8973	9.69	0.15	431	33.8	326	164	1788	348	169	732	194	56.5	217	99.2	104	45.3	1.666666667	3.6	3.9	71.9	828	2.9	1.757575758	187	477	0.25	31.5	6.16	1870	117	49.3	50.7	1.6	15.8	0.842532468	4.309278351	12.1	4.67	58.1	7.4	8262	5.13	1.26	66.8	6.76	93.2	8081	68.7	18.9	18.3	81.7	23.1	0.857594937	4.87	65.9	0.912742382	11.7	0.486218302	9.07	0.852791878	0.641633729	2.45	0.071	3.28	0.616402116	410	431	74.2	1.138211382	0	2588	2619	1.091476091	5.7	203	210	1.30952381
RFl17	aIL10+aPD1	2.044914011	0.152659644	0.53	1639	1566	5.7	1924	1869	5.49	5.99	6.37	6.71	1.97	7.2	118	74.07534823	4.27	1924	2314	2223	1.66	610	2894	87.4	0.59	1920	9034	9.51	0.13	1503	36.5	211	91.2	2103	265	99	704	249	57.8	173	56.8	310	66.6	1.450980392	2.6	0.75	131	873	1.41	1.602272727	431	2382	0.23	33	6.27	1686	242	52.4	47.6	3.571428571	4.82	1.118483412	2.987951807	14.6	5.03	53.1	1.99	9729	6.19	1.3	153	7.57	92.4	9406	60.2	19.1	21.2	78.8	25.1	1.102974828	3.23	67.9	1.030349014	12.3	1.26342711	3.91	1.374269006	0.898891967	2.03	0.073	6.56	1.217741935	359	403	43.5	2.326530612	24.11764706	3077	2793	1.100519931	4.91	190	179	7.111111111
RIb17	aIL10+aPD1	6.446221042	0.162956508	0.48	1895	1795	5	2257	2278	6.78	8.44	9.79	8.05	4.47	15.4	140	79.20540534	4.83	1741	2364	2405	3.25	2319	2744	103	1.27	1939	10019	11.1	0.16	1541	13.7	169	42.4	1501	178	35.9	470	336	143	148	23.5	188	54.5	0.792207792	1.290322581	1.74	165	935	1.34	1.015151515	493	2804	0.052	28.5	7.26	2377	219	44.6	55.4	1.785714286	5.6	1.2475	2.492537313	15.1	5.04	54.1	4.58	9929	6.68	2.02	166	8.86	91.1	9685	62.3	19.7	21.5	78.5	25.3	1.196601942	2.15	66.8	1.143835616	9.68	0.82778865	5.11	1.262295082	0.943820225	1.42	0.026	4.47	2.035294118	245	294	22.8	1.959044369	1.326530612	3201	2578	1.069114471	3.03	199	226	1.347826087
